,Use CaseType ,LTE/5G UE Category,Technology Supported ,Day,Time,GBR,Packet Loss Rate (Reliability),Packet Delay Budget (Latency),Slice Type (Output)
0,1,1,1,1,0,2,1,5,1
1,1,1,1,1,1,2,1,5,1
2,1,1,1,1,2,2,1,5,1
3,1,1,1,1,3,2,1,5,1
4,1,1,1,1,4,2,1,5,1
5,1,1,1,1,5,2,1,5,1
6,1,1,1,1,6,2,1,5,1
7,1,1,1,1,7,2,1,5,1
8,1,1,1,1,8,2,1,5,1
9,1,1,1,1,9,2,1,5,1
10,1,1,1,1,10,2,1,5,1
11,1,1,1,1,11,2,1,5,1
12,1,1,1,1,12,2,1,5,1
13,1,1,1,1,13,2,1,5,1
14,1,1,1,1,14,2,1,5,1
15,1,1,1,1,15,2,1,5,1
16,1,1,1,1,16,2,1,5,1
17,1,1,1,1,17,2,1,5,1
18,1,1,1,1,18,2,1,5,1
19,1,1,1,1,19,2,1,5,1
20,1,1,1,1,20,2,1,5,1
21,1,1,1,1,21,2,1,5,1
22,1,1,1,1,22,2,1,5,1
23,1,1,1,1,23,2,1,5,1
24,1,1,1,2,0,2,1,5,1
25,1,1,1,2,1,2,1,5,1
26,1,1,1,2,2,2,1,5,1
27,1,1,1,2,3,2,1,5,1
28,1,1,1,2,4,2,1,5,1
29,1,1,1,2,5,2,1,5,1
30,1,1,1,2,6,2,1,5,1
31,1,1,1,2,7,2,1,5,1
32,1,1,1,2,8,2,1,5,1
33,1,1,1,2,9,2,1,5,1
34,1,1,1,2,10,2,1,5,1
35,1,1,1,2,11,2,1,5,1
36,1,1,1,2,12,2,1,5,1
37,1,1,1,2,13,2,1,5,1
38,1,1,1,2,14,2,1,5,1
39,1,1,1,2,15,2,1,5,1
40,1,1,1,2,16,2,1,5,1
41,1,1,1,2,17,2,1,5,1
42,1,1,1,2,18,2,1,5,1
43,1,1,1,2,19,2,1,5,1
44,1,1,1,2,20,2,1,5,1
45,1,1,1,2,21,2,1,5,1
46,1,1,1,2,22,2,1,5,1
47,1,1,1,2,23,2,1,5,1
48,1,1,1,3,0,2,1,5,1
49,1,1,1,3,1,2,1,5,1
